date,store,product,category,quantity,price,revenue,region
2024-01-01,Store_A,Laptop,Electronics,5,999.99,4999.95,North
2024-01-01,Store_B,Phone,Electronics,12,699.99,8399.88,South
2024-01-02,Store_A,Desk,Furniture,3,299.99,899.97,North
2024-01-02,Store_C,Laptop,Electronics,7,999.99,6999.93,East
2024-01-03,Store_B,Chair,Furniture,15,149.99,2249.85,South
2024-01-03,Store_A,Phone,Electronics,8,699.99,5599.92,North
2024-01-04,Store_C,Tablet,Electronics,10,499.99,4999.90,East
2024-01-04,Store_B,Desk,Furniture,4,299.99,1199.96,South
2024-01-05,Store_A,Laptop,Electronics,6,999.99,5999.94,North
2024-01-05,Store_C,Chair,Furniture,20,149.99,2999.80,East
2024-01-06,Store_B,Phone,Electronics,,699.99,,South
2024-01-06,Store_A,Tablet,Electronics,9,499.99,4499.91,North
2024-01-07,Store_C,Laptop,Electronics,4,999.99,3999.96,East
2024-01-07,Store_B,Chair,Furniture,11,149.99,1649.89,South
2024-01-08,Store_A,Desk,Furniture,2,299.99,599.98,North
2024-01-08,Store_C,Phone,Electronics,14,699.99,9799.86,East
2024-01-09,Store_B,Laptop,Electronics,3,999.99,2999.97,South
2024-01-09,Store_A,Chair,Furniture,18,149.99,2699.82,North
2024-01-10,Store_C,Tablet,Electronics,8,499.99,3999.92,East
2024-01-10,Store_B,Desk,Furniture,-2,299.99,-599.98,South
